"基準番号（ＨＯＴコード）","包装数量数","包装数量単位","包装入数数","包装入数単位","更新区分","更新年月日"
"1003031010101","1","瓶","1","入","4","20100331"
"1003062020101","10","管","1","入","1","20171031"
"1003062030101","10","管","1","入","1","20250331"
"1003079020101","10","管","1","入","1","20171031"
"1003079030101","10","管","1","入","1","20250331"
"1003116010101","1","瓶","1","入","4","20080331"
"1003116010201","1","瓶","1","入","4","20080331"
"1003116010301","1","瓶","1","入","4","20080331"
"1003116030101","1","本","1","入","1","20090529"
"1003116030201","1","本","1","入","1","20090529"
"1003116030301","1","本","1","入","1","20090529"
"1003116050102","1","本","1","入","1","20080331"
"1003116050202","1","本","1","入","1","20080331"
"1003116050302","1","本","1","入","1","20080331"
"1003116050401","1","本","1","入","1","20080331"
"1003116060102","1","瓶","1","入","1","20080731"
"1003116060202","1","瓶","1","入","1","20080731"
"1003116060302","1","瓶","1","入","1","20080731"
"1003116080101","1","本","1","入","1","20180630"
"1003116080201","1","本","1","入","1","20180630"
"1003116080301","1","本","1","入","1","20180630"
"1003116080401","1","本","1","入","1","20180630"
"1003116080501","1","本","1","入","1","20180630"
"1003116100101","1","本","1","入","1","20190630"
"1003116100201","1","本","1","入","1","20190630"
"1003116100301","1","本","1","入","1","20190630"
"1003147010105","1","瓶","1","入","1","20100331"
"1003147010106","10","瓶","1","入","1","20100331"
"1003147010201","1","瓶","1","入","1","20230131"
"1003147010202","10","瓶","1","入","1","20230131"
"1003147030101","1","瓶","1","入","4","20220331"
"1003147030102","10","瓶","1","入","4","20220331"
"1003147040101","1","瓶","1","入","1","20100831"
"1003147040102","10","瓶","1","入","1","20100831"
"1003154010105","1","瓶","1","入","1","20100331"
"1003154010106","10","瓶","1","入","1","20100331"
"1003154010201","1","瓶","1","入","1","20230131"
"1003154010202","10","瓶","1","入","1","20230131"
"1003154030101","1","瓶","1","入","4","20220331"
"1003154030102","10","瓶","1","入","4","20220331"
"1003154040101","1","瓶","1","入","1","20100831"
"1003154040102","10","瓶","1","入","1","20100831"
"1003161020101","1","瓶","1","入","1","20190228"
"1003178020101","5","管","1","入","1","20020530"
"1003178030101","5","管","1","入","1","20180531"
"1003178040101","5","管","1","入","1","20211210"
"1003185020101","1","瓶","1","入","1","20020530"
"1003185030101","1","錠","1","入","1","20180531"
"1003185040101","1","瓶","1","入","1","20211210"
"1003208020102","1","瓶","1","入","4","20090930"
"1003208030101","1","瓶","1","入","4","20140228"
"1003222040102","1","瓶","1","入","1","20111130"
"1003222050102","1","瓶","1","入","4","20111130"
"1003222060101","1","瓶","1","入","1","20130131"
"1003239020105","1","瓶","1","入","4","20220331"
"1003239020201","1","瓶","1","入","4","20220331"
"1003239020301","1","瓶","1","入","4","20220331"
"1003239050102","1","箱","1","入","1","20120330"
"1003239080101","1","瓶","1","入","4","20120330"
"1003239140101","1","瓶","1","入","4","20080331"
"1003239200101","1","袋","1","入","4","20130731"
"1003239210101","1","箱","1","入","1","20140531"
"1003239220101","1","袋","1","入","1","20220531"
"1003239220201","1","袋","1","入","1","20231031"
"1003253030202","30","個","1","入","1","20011214"
"1003253040101","30","個","1","入","1","20050421"
"1003260030202","30","個","1","入","1","20011214"
"1003260040101","30","個","1","入","1","20050421"
"1003277010101","1","瓶","1","入","1","20030328"
"1003284010101","1","瓶","1","入","1","20011214"
"1003284010201","10","シート","1","入","1","20011214"
"1003284010202","100","シート","1","入","1","20011214"
"1003284010301","50","シート","1","入","1","20011214"
"1003291010101","1","瓶","1","入","1","20011214"
"1003291010201","10","シート","1","入","1","20011214"
"1003291010202","100","シート","1","入","1","20011214"
"1003291010301","50","シート","1","入","1","20011214"
"1003321020101","10","シート","1","入","1","20020320"
"1003321020201","1","瓶","1","入","1","20020320"
"1003352020101","1","瓶","1","入","1","20190228"
"1003383010103","1","個","1","入","1","20141231"
"1003390020101","1","瓶","1","入","1","20161130"
"1003406020101","10","シート","1","入","1","20161130"
"1003420010103","1","瓶","1","入","1","20220331"
"1003420010205","10","シート","1","入","1","20220331"
"1003420010206","100","シート","1","入","1","20220331"
"1003420010207","600","シート","1","入","1","20220331"
"1003420010301","1","瓶","1","入","1","20220331"
"1003437010102","1","瓶","1","入","1","20220331"
"1003437010204","100","シート","1","入","1","20220331"
"1003437010205","10","シート","1","入","1","20220331"
"1003451020101","10","シート","1","入","1","20190228"
"1003451020201","1","缶","1","入","1","20190228"
"1003468010102","1","個","1","入","1","20220331"
"1003468010203","10","シート","1","入","1","20220331"
"1003468010204","120","シート","1","入","1","20220331"
"1003475030101","10","シート","1","入","1","20220331"
"1003475030102","120","シート","1","入","1","20220331"
"1003475030201","1","瓶","1","入","1","20220331"
"1003475040101","10","シート","1","入","1","20221208"
"1003475040201","1","瓶","1","入","1","20221208"
"1003505020101","10","シート","1","入","1","20161130"
"1003505020102","100","シート","1","入","1","20161130"
"1003505020201","1","瓶","1","入","1","20161130"
"1003529010103","1","瓶","1","入","1","20220331"
"1003529010205","10","シート","1","入","1","20220331"
"1003529010206","100","シート","1","入","1","20220331"
"1003529010301","1","瓶","1","入","1","20220331"
"1003543020101","10","シート","1","入","1","20190228"
"1003550010101","1","瓶","1","入","4","20140331"
"1003550010102","1","個","1","入","1","20220331"
"1003550010201","120","シート","1","入","4","20140331"
"1003550010202","10","シート","1","入","4","20140331"
"1003550010203","10","シート","1","入","1","20220331"
"1003550010204","120","シート","1","入","1","20220331"
"1003574020101","10","シート","1","入","1","20161130"
"1003574020201","1","瓶","1","入","1","20161130"
"1003635020101","1","瓶","1","入","1","20190228"
"1003642020101","10","シート","1","入","1","20190228"
"1003659020101","10","シート","1","入","1","20190228"
"1003659020201","1","瓶","1","入","1","20190228"
"1003680030101","1","瓶","1","入","4","20050627"
"1003680030201","100","シート","1","入","4","20050627"
"1003680030202","10","シート","1","入","4","20050627"
"1003680030401","10","シート","1","入","4","20210630"
"1003680030501","10","シート","1","入","1","20210630"
"1003703010101","10","シート","1","入","1","20200331"
"1003703010102","100","シート","1","入","1","20200331"
"1003703020101","10","シート","1","入","1","20230430"
"1003703020102","100","シート","1","入","1","20230430"
"1003710030101","1","瓶","1","入","4","20050627"
"1003710030201","100","シート","1","入","4","20050627"
"1003710030202","10","シート","1","入","4","20050627"
"1003710030401","10","シート","1","入","4","20210630"
"1003710030402","100","シート","1","入","4","20210630"
"1003710030501","10","シート","1","入","1","20210630"
"1003710030502","100","シート","1","入","4","20210630"
"1003727050102","10","シート","1","入","1","20200331"
"1003727050202","1","瓶","1","入","1","20200331"
"1003734010103","50","シート","1","入","1","20200331"
"1003734010104","10","シート","1","入","1","20200331"
"1003734020102","10","シート","1","入","4","20200331"
"1003765010103","10","シート","1","入","1","20200331"
"1003765010104","60","シート","1","入","1","20200331"
"1003789050101","10","シート","1","入","1","20200331"
"1003789050201","1","瓶","1","入","1","20200331"
"1003802010103","1","瓶","1","入","1","20200331"
"1003802010205","10","シート","1","入","1","20200331"
"1003802010206","50","シート","1","入","1","20200331"
"1003826010301","10","シート","1","入","1","20151231"
"1003826010302","100","シート","1","入","1","20151231"
"1003826010401","1","袋","1","入","1","20151231"
"1003833020101","10","シート","1","入","4","20030124"
"1003833020102","100","シート","1","入","4","20030124"
"1003833020201","1","瓶","1","入","4","20030124"
"1003833020301","10","シート","1","入","4","20150731"
"1003833020302","100","シート","1","入","4","20150731"
"1003833020401","1","瓶","1","入","4","20150731"
"1003833030101","10","シート","1","入","4","20170331"
"1003833030102","100","シート","1","入","4","20170331"
"1003833030201","1","瓶","1","入","4","20170331"
"1003840010102","1","個","1","入","1","20200331"
"1003840010203","10","シート","1","入","1","20200331"
"1003840010204","120","シート","1","入","1","20200331"
"1003840010301","10","シート","1","入","1","20200331"
"1003840010302","100","シート","1","入","1","20200331"
"1003840010401","1","瓶","1","入","1","20200331"
"1003857010301","10","シート","1","入","1","20151231"
"1003857010302","100","シート","1","入","1","20151231"
"1003857010401","1","瓶","1","入","1","20151231"
"1003864020101","10","シート","1","入","4","20030124"
"1003864020102","100","シート","1","入","4","20030124"
"1003864020201","1","瓶","1","入","4","20030124"
"1003864020301","10","シート","1","入","4","20150731"
"1003864020302","100","シート","1","入","4","20150731"
"1003864020401","1","瓶","1","入","4","20150731"
"1003864030101","10","シート","1","入","4","20170331"
"1003864030102","100","シート","1","入","4","20170331"
"1003864030201","1","瓶","1","入","4","20170331"
"1003871040102","1","瓶","1","入","1","20160331"
"1003871040203","10","シート","1","入","1","20160331"
"1003871040204","100","シート","1","入","1","20160331"
"1003888010101","1","瓶","1","入","4","20160331"
"1003888010201","10","シート","1","入","4","20160331"
"1003888010202","100","シート","1","入","4","20160331"
"1003888020103","10","シート","1","入","1","20251130"
"1003888020104","100","シート","1","入","1","20251130"
"1003888020202","1","瓶","1","入","1","20251130"
"1003895030101","10","シート","1","入","1","20200331"
"1003895030102","120","シート","1","入","1","20200331"
"1003895030103","100","シート","1","入","1","20200331"
"1003901010105","10","シート","1","入","1","20200331"
"1003901010106","100","シート","1","入","1","20200331"
"1003901010203","1","瓶","1","入","1","20200331"
"1003918040101","10","シート","1","入","4","20160531"
"1003918040102","100","シート","1","入","4","20160531"
"1003918040201","1","瓶","1","入","4","20160531"
"1003918070101","10","シート","1","入","4","20161031"
"1003918070102","100","シート","1","入","4","20161031"
"1003918070201","1","瓶","1","入","4","20161031"
"1003925010101","10","シート","1","入","4","20140331"
"1003925010102","50","シート","1","入","4","20140331"
"1003925010201","1","瓶","1","入","4","20140331"
"1003925010301","10","シート","1","入","1","20200331"
"1003925010302","50","シート","1","入","1","20200331"
"1003925010401","1","瓶","1","入","1","20200331"
"1003932030101","10","シート","1","入","1","20200331"
"1003932030102","50","シート","1","入","1","20200331"
"1003932030201","1","瓶","1","入","1","20200331"
"1003949020103","1","瓶","1","入","1","20200331"
"1003949020203","10","シート","1","入","1","20200331"
"1003949020204","50","シート","1","入","1","20200331"
"1003956010103","1","瓶","1","入","1","20200331"
"1003956010205","10","シート","1","入","1","20200331"
"1003956010206","50","シート","1","入","1","20200331"
"1003963010102","1","瓶","1","入","1","20200331"
"1003963010203","10","シート","1","入","1","20200331"
"1003963010204","50","シート","1","入","1","20200331"
"1003970020102","10","シート","1","入","4","20200331"
"1003970020103","60","シート","1","入","1","20200331"
"1003970020104","10","シート","1","入","1","20200331"
"1003970030103","10","シート","1","入","1","20200331"
"1003987010105","10","シート","1","入","4","20180331"
"1003994010102","1","瓶","1","入","1","20200331"
"1003994010203","10","シート","1","入","1","20200331"
"1003994010204","100","シート","1","入","1","20200331"
"1004007020101","10","シート","1","入","1","20070709"
"1004007020102","50","シート","1","入","1","20070709"
"1004007020103","100","シート","1","入","1","20070709"
"1004007020201","1","瓶","1","入","1","20070709"
"1004007030101","10","シート","1","入","1","20250531"
"1004007030102","50","シート","1","入","1","20250531"
"1004007030201","1","瓶","1","入","1","20250531"
"1004014020301","10","シート","1","入","4","20090630"
"1004014020302","100","シート","1","入","4","20090630"
"1004014020401","1","瓶","1","入","4","20090630"
"1004014020501","10","シート","1","入","1","20110930"
"1004014020502","100","シート","1","入","1","20110930"
"1004014020601","1","瓶","1","入","1","20110930"
"1004045020101","1","瓶","1","入","1","20190228"
"1004083020101","10","シート","1","入","1","20190228"
"1004083020201","1","瓶","1","入","1","20190228"
"1004090020101","10","シート","1","入","1","20190228"
"1004090020201","1","瓶","1","入","1","20190228"
"1004168020101","1","瓶","1","入","1","20191130"
"1004182020101","10","シート","1","入","1","20191130"
"1004182020201","1","瓶","1","入","1","20191130"
"1004205020101","10","シート","1","入","1","20191130"
"1004205020201","1","瓶","1","入","1","20191130"
"1004212020104","10","シート","1","入","4","20090930"
"1004212020105","100","シート","1","入","4","20090930"
"1004212030101","10","シート","1","入","4","20231031"
"1004212030102","100","シート","1","入","4","20231031"
"1004212040101","10","シート","1","入","1","20231031"
"1004212040102","100","シート","1","入","1","20231031"
"1004212040201","10","シート","1","入","1","20230630"
"1004212040202","100","シート","1","入","1","20230630"
"1004243010101","1","瓶","1","入","1","20030328"
"1004243010102","5","包","1","入","1","20030328"
"1004250020101","1","缶","1","入","1","20120928"
"1004298010101","1","瓶","1","入","1","20220331"
"1004298010201","10","シート","1","入","1","20220331"
"1004298010202","100","シート","1","入","1","20220331"
"1004298010301","2","袋","1","入","1","20220331"
"1004304010101","1","瓶","1","入","1","20220331"
"1004304010201","10","シート","1","入","1","20220331"
"1004304010203","100","シート","1","入","1","20220331"
"1004304010204","500","シート","1","入","1","20220331"
"1004311010101","1","瓶","1","入","4","20130430"
"1004311010201","100","シート","1","入","4","20130430"
"1004311010301","100","シート","1","入","1","20220331"
"1004328010103","1","瓶","1","入","1","20220331"
"1004328010205","10","シート","1","入","1","20220331"
"1004328010206","100","シート","1","入","1","20220331"
"1004328010207","600","シート","1","入","1","20220331"
"1004328010301","1","瓶","1","入","1","20220331"
"1004366010102","1","瓶","1","入","1","20130430"
"1004366010201","10","シート","1","入","1","20130430"
"1004366010202","100","シート","1","入","1","20130430"
"1004366010301","100","シート","1","入","1","20130430"
"1004380020101","10","シート","1","入","1","20130430"
"1004380020102","100","シート","1","入","1","20130430"
"1004380020201","1","瓶","1","入","1","20130430"
"1004410010102","1","瓶","1","入","1","20220331"
"1004410010203","10","シート","1","入","1","20220331"
"1004410010204","100","シート","1","入","1","20220331"
"1004410020101","10","シート","1","入","1","20220331"
"1004458010102","1","瓶","1","入","1","20130430"
"1004458010201","10","シート","1","入","1","20130430"
"1004458010202","100","シート","1","入","1","20130430"
"1004472010101","1","瓶","1","入","1","20220331"
"1004472010201","10","シート","1","入","1","20220331"
"1004472010203","100","シート","1","入","1","20220331"
"1004496010101","100","シート","1","入","4","20130430"
"1004496010201","100","シート","1","入","1","20220331"
"1004502010103","1","瓶","1","入","1","20220331"
"1004502010204","10","シート","1","入","1","20220331"
"1004502010205","100","シート","1","入","1","20220331"
"1004502010206","600","シート","1","入","1","20220331"
"1004557020101","10","シート","1","入","1","20130430"
"1004557020102","100","シート","1","入","1","20130430"
"1004557020201","1","瓶","1","入","1","20130430"
"1004571010102","1","瓶","1","入","1","20220331"
"1004571010203","10","シート","1","入","1","20220331"
"1004571010204","100","シート","1","入","1","20220331"
"1004571020101","10","シート","1","入","1","20220331"
"1004588040102","1","瓶","1","入","1","20180331"
"1004588040203","10","シート","1","入","1","20180331"
"1004588040204","100","シート","1","入","1","20180331"
"1004601010101","1","瓶","1","入","1","20130430"
"1004601010201","10","シート","1","入","1","20130430"
"1004625010101","1","瓶","1","入","4","20030328"
"1004663020102","1","瓶","1","入","4","20220331"
"1004663020202","1","瓶","1","入","4","20220331"
"1004670020102","1","瓶","1","入","4","20220331"
"1004670020204","100","シート","1","入","4","20220331"
"1004670020205","10","シート","1","入","4","20220331"
"1004670020206","50","シート","1","入","4","20220331"
"1004687030103","1","袋","1","入","1","20200331"
"1004687030201","1","袋","1","入","1","20200331"
"1004687030301","1","袋","1","入","1","20230331"
"1004687030401","1","袋","1","入","1","20230331"
"1004687040101","1","瓶","1","入","1","20200331"
"1004694010103","1","瓶","1","入","4","20070709"
"1004694010201","1","瓶","1","入","4","20070709"
"1004694020101","1","缶","1","入","1","20200831"
"1004694020201","1","缶","1","入","1","20200831"
"1004694030101","1","缶","1","入","1","20211210"
"1004694030201","1","缶","1","入","1","20211210"
"1004700010101","1","瓶","1","入","4","20090227"
"1004700010201","10","シート","1","入","4","20090227"
"1004700010202","100","シート","1","入","4","20090227"
"1004700020101","10","シート","1","入","1","20200831"
"1004700020102","100","シート","1","入","1","20200831"
"1004700020201","1","瓶","1","入","1","20200831"
"1004700030101","10","シート","1","入","1","20211210"
"1004700030102","100","シート","1","入","1","20211210"
"1004700030201","1","瓶","1","入","1","20211210"
"1004717030102","1","袋","1","入","1","20200331"
"1004717030203","10","シート","1","入","1","20200331"
"1004717030204","100","シート","1","入","1","20200331"
"1004717030301","1","袋","1","入","1","20240331"
"1004717030401","10","シート","1","入","1","20240331"
"1004717030402","100","シート","1","入","1","20240331"
"1004717040101","10","シート","1","入","1","20200331"
"1004717040201","10","シート","1","入","1","20240331"
"1004724010101","1","瓶","1","入","4","20090227"
"1004724010201","10","シート","1","入","4","20090227"
"1004724010202","100","シート","1","入","4","20090227"
"1004724020101","10","シート","1","入","1","20200831"
"1004724020102","100","シート","1","入","1","20200831"
"1004724020201","1","瓶","1","入","1","20200831"
"1004724030101","10","シート","1","入","1","20211210"
"1004724030102","100","シート","1","入","1","20211210"
"1004724030201","1","瓶","1","入","1","20211210"
"1004731030102","1","袋","1","入","1","20200331"
"1004731030203","10","シート","1","入","1","20200331"
"1004731030204","100","シート","1","入","1","20200331"
"1004731030301","10","シート","1","入","1","20240331"
"1004731030302","100","シート","1","入","1","20240331"
"1004748030102","1","袋","1","入","1","20200331"
"1004748030203","10","シート","1","入","1","20200331"
"1004748030204","100","シート","1","入","1","20200331"
"1004748030301","10","シート","1","入","1","20200331"
"1004748030302","100","シート","1","入","1","20200331"
"1004748030401","1","個","1","入","1","20200331"
"1004748040101","10","シート","1","入","1","20200331"
"1004748040201","10","シート","1","入","1","20200331"
"1004755010101","1","瓶","1","入","4","20090227"
"1004755010201","10","シート","1","入","4","20090227"
"1004755010202","100","シート","1","入","4","20090227"
"1004755020101","10","シート","1","入","1","20200831"
"1004755020102","100","シート","1","入","1","20200831"
"1004755020201","1","瓶","1","入","1","20200831"
"1004755030101","10","シート","1","入","1","20211210"
"1004755030102","100","シート","1","入","1","20211210"
"1004755030201","1","瓶","1","入","1","20211210"
"1004786010101","1","瓶","1","入","1","20011214"
"1004786010202","100","シート","1","入","1","20011214"
"1004786010203","10","シート","1","入","1","20070228"
"1004793020101","10","シート","1","入","1","20210430"
"1004830010101","1","瓶","1","入","1","20011214"
"1004830010102","1","瓶","1","入","1","20011214"
"1004830010202","600","シート","1","入","1","20011214"
"1004830010203","100","シート","1","入","1","20011214"
"1004830010204","10","シート","1","入","1","20070228"
"1004861020101","10","シート","1","入","1","20210430"
"1004915010103","1","瓶","1","入","1","20240331"
"1004915010205","10","シート","1","入","1","20240331"
"1004915010206","100","シート","1","入","1","20240331"
"1004915020101","10","シート","1","入","1","20240331"
"1004939020101","10","シート","1","入","4","20111130"
"1004939020102","100","シート","1","入","4","20111130"
"1004939020201","1","瓶","1","入","4","20111130"
"1004939030101","10","シート","1","入","1","20120629"
"1004939030102","100","シート","1","入","4","20120629"
"1004939030201","1","瓶","1","入","1","20120629"
"1004946010103","1","瓶","1","入","1","20200331"
"1004946010205","10","シート","1","入","1","20200331"
"1004946010206","100","シート","1","入","1","20200331"
"1004953020101","10","シート","1","入","4","20111130"
"1004953020102","100","シート","1","入","4","20111130"
"1004953020201","1","瓶","1","入","4","20111130"
"1004953030101","10","シート","1","入","1","20120629"
"1004953030102","100","シート","1","入","4","20120629"
"1004953030201","1","瓶","1","入","1","20120629"
"1004960010101","1","瓶","1","入","1","20011214"
"1004960010201","10","シート","1","入","1","20011214"
"1004960010202","100","シート","1","入","1","20011214"
"1004960010301","100","シート","1","入","1","20011214"
"1004977030101","100","シート","1","入","4","20050627"
"1004977030201","1","瓶","1","入","4","20050627"
"1004977030301","10","シート","1","入","4","20050627"
"1004977030302","100","シート","1","入","4","20050627"
"1004977040101","10","シート","1","入","1","20210731"
"1004977040102","100","シート","1","入","1","20210731"
"1004977040201","1","瓶","1","入","1","20210731"
"1004977040301","10","シート","1","入","1","20210731"
"1004977040302","100","シート","1","入","1","20210731"
"1004977040401","1","瓶","1","入","1","20210731"
"1004984010103","1","瓶","1","入","1","20200331"
"1004984010205","10","シート","1","入","1","20200331"
"1004984010206","100","シート","1","入","1","20200331"
"1004984020101","10","シート","1","入","1","20200430"
"1004991010102","1","瓶","1","入","1","20200331"
"1004991010203","10","シート","1","入","1","20200331"
"1004991010204","100","シート","1","入","1","20200331"
"1004991010301","1","瓶","1","入","1","20200331"
"1005004010101","1","瓶","1","入","1","20011214"
"1005004010201","10","シート","1","入","1","20011214"
"1005004010202","100","シート","1","入","1","20011214"
"1005004010301","100","シート","1","入","1","20011214"
"1005011030101","1","瓶","1","入","4","20050627"
"1005011030201","50","シート","1","入","4","20050627"
"1005011040101","50","シート","1","入","1","20210731"
"1005011040201","1","瓶","1","入","1","20210731"
"1005011040301","50","シート","1","入","1","20210731"
